,Date,To_Date,Predict_values
0,1999-05-09,1999-05-16,0
1,1999-05-16,1999-05-23,0
2,1999-05-23,1999-05-30,1
3,1999-05-30,1999-06-06,1
4,1999-06-06,1999-06-13,1
5,1999-06-13,1999-06-20,0
6,1999-06-20,1999-06-27,1
7,1999-06-27,1999-07-04,1
8,1999-07-04,1999-07-11,1
9,1999-07-11,1999-07-18,1
10,1999-07-18,1999-07-25,0
11,1999-07-25,1999-08-01,0
12,1999-08-01,1999-08-08,0
13,1999-08-08,1999-08-15,0
14,1999-08-15,1999-08-22,1
15,1999-08-22,1999-08-29,1
16,1999-08-29,1999-09-05,1
17,1999-09-05,1999-09-12,1
18,1999-09-12,1999-09-19,1
19,1999-09-19,1999-09-26,1
20,1999-09-26,1999-10-03,0
21,1999-10-03,1999-10-10,0
22,1999-10-10,1999-10-17,0
23,1999-10-17,1999-10-24,0
24,1999-10-24,1999-10-31,1
25,1999-10-31,1999-11-07,1
26,1999-11-07,1999-11-14,1
27,1999-11-14,1999-11-21,1
28,1999-11-21,1999-11-28,1
29,1999-11-28,1999-12-05,1
30,1999-12-05,1999-12-12,1
31,1999-12-12,1999-12-19,1
32,1999-12-19,1999-12-26,1
33,1999-12-26,2000-01-02,1
34,2000-01-02,2000-01-09,1
35,2000-01-09,2000-01-16,0
36,2000-01-16,2000-01-23,1
37,2000-01-23,2000-01-30,1
38,2000-01-30,2000-02-06,1
39,2000-02-06,2000-02-13,1
40,2000-02-13,2000-02-20,0
41,2000-02-20,2000-02-27,1
42,2000-02-27,2000-03-05,1
43,2000-03-05,2000-03-12,1
44,2000-03-12,2000-03-19,1
45,2000-03-19,2000-03-26,0
46,2000-03-26,2000-04-02,0
47,2000-04-02,2000-04-09,1
48,2000-04-09,2000-04-16,1
49,2000-04-16,2000-04-23,1
50,2000-04-23,2000-04-30,1
51,2000-04-30,2000-05-07,1
52,2000-05-07,2000-05-14,1
53,2000-05-14,2000-05-21,0
54,2000-05-21,2000-05-28,1
55,2000-05-28,2000-06-04,0
56,2000-06-04,2000-06-11,0
57,2000-06-11,2000-06-18,0
58,2000-06-18,2000-06-25,0
59,2000-06-25,2000-07-02,1
60,2000-07-02,2000-07-09,1
61,2000-07-09,2000-07-16,1
62,2000-07-16,2000-07-23,1
63,2000-07-23,2000-07-30,1
64,2000-07-30,2000-08-06,1
65,2000-08-06,2000-08-13,1
66,2000-08-13,2000-08-20,1
67,2000-08-20,2000-08-27,1
68,2000-08-27,2000-09-03,1
69,2000-09-03,2000-09-10,1
70,2000-09-10,2000-09-17,1
71,2000-09-17,2000-09-24,1
72,2000-09-24,2000-10-01,0
73,2000-10-01,2000-10-08,0
74,2000-10-08,2000-10-15,1
75,2000-10-15,2000-10-22,1
76,2000-10-22,2000-10-29,1
77,2000-10-29,2000-11-05,1
78,2000-11-05,2000-11-12,0
79,2000-11-12,2000-11-19,0
80,2000-11-19,2000-11-26,1
81,2000-11-26,2000-12-03,1
82,2000-12-03,2000-12-10,0
83,2000-12-10,2000-12-17,0
